num_listings,median_price
15,65.0
2,57.225
16,25.244999999999997
14,65.0
6,100.0
4,65.0
32,32.0
13,35.0
4,39.495000000000005
22,36.5
7,90.0
4,22.5
2,54.245
12,28.5
2,94.995
3,84.0
23,65.0
26,26.975
15,64.0
7,45.0
2,140.0
5,24.0
17,54.99
24,35.0
33,39.95
5,65.0
32,30.0
18,75.0
34,40.0
69,24.99
3,35.0
7,33.0
14,40.0
14,21.5
6,15.495000000000001
5,38.99
33,20.0
8,14.995000000000001
3,37.0
16,50.0
16,17.25
22,43.5
10,15.0
24,51.31
10,282.0
5,13.0
31,10.0
17,45.0
5,7.0
9,24.15
18,17.494999999999997
10,72.47999999999999
20,45.0
12,29.0
2,33.0
1,18.0
2,30.0
2,42.49
14,39.495000000000005
7,24.0
7,60.0
8,84.31
3,32.0
16,72.5
13,55.3
28,12.0
16,55.0
4,61.985
36,30.0
13,15.0
24,13.74
9,35.0
21,25.0
12,62.475
9,90.0
4,140.0
14,26.0
24,33.5
1,47.96
3,34.9
9,50.0
12,7.0
2,21.5
30,29.5
17,20.0
13,85.0
16,35.5
2,50.0
16,58.975
6,49.0
17,50.0
7,28.99
8,46.995000000000005
13,48.0
10,26.97
20,42.5
11,80.0
1,39.99
7,99.0
2,125.0
5,15.0
1,80.0
5,60.0
8,17.475
8,45.495000000000005
21,13.95
7,33.0
18,20.0
0,0.0
6,30.0
3,59.99
2,45.0
7,19.0
8,22.5
16,30.98
9,35.0
32,39.0
22,45.0
6,59.245000000000005
