Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Löwenherz,66,2419.0,7.03575,6.43573,2.9286,266.0,1120.0,225.0,81.0,292.0,3449.0,2049.0,3.0,36.0,1997.0,2.0,4.0,90.0,90.0,12.0,"[2080, 2012, 1035, 2011, 1001]",['strategy']
Unmatched: Cobble & Fog,294484,751.0,8.51852,6.43992,2.0,15.0,91.0,10.0,241.0,1067.0,2237.0,1576.0,80.0,90.0,2020.0,2.0,4.0,20.0,40.0,9.0,"[2046, 1117, 1002, 1010, 1046, 2040, 2975, 1047, 1093, 2686, 2019, 2015]",['strategy']
Meuterer,902,3217.0,6.88787,6.43453,2.3162,351.0,1162.0,201.0,126.0,524.0,5539.0,5144.0,11.0,58.0,2000.0,3.0,4.0,60.0,60.0,12.0,"[2041, 1002, 1046, 2040, 2011, 1008, 1090, 2078]",['strategy']
Unearth,217085,3627.0,6.91665,6.43398,1.9722,72.0,654.0,198.0,163.0,1301.0,6948.0,9959.0,50.0,187.0,2017.0,2.0,4.0,30.0,60.0,8.0,"[1002, 1017, 2072, 1020, 2004, 2002, 2082]","['strategy', 'family']"
Rum & Bones: Second Tide,196202,1231.0,7.71624,6.43365,2.8276,29.0,261.0,77.0,217.0,1044.0,3183.0,2051.0,16.0,156.0,2017.0,2.0,6.0,60.0,60.0,14.0,"[2001, 2689, 2957, 1017, 2072, 1010, 2676, 1079, 1047, 2011, 1008, 1090, 2079, 2015, 2481]",[]
The Castles of Burgundy: The Dice Game,232988,2910.0,6.93903,6.43094,1.8246,57.0,607.0,110.0,129.0,614.0,5689.0,20178.0,127.0,85.0,2017.0,1.0,5.0,15.0,30.0,10.0,"[1029, 1017, 2072, 1021, 2026, 1035, 2055, 1086]",['family']
Aton,19999,3345.0,6.85966,6.42917,2.1051,333.0,1661.0,245.0,115.0,528.0,4346.0,10849.0,16.0,68.0,2005.0,2.0,2.0,30.0,30.0,8.0,"[1050, 2080, 2040, 2020]","['abstract', 'strategy']"
Haspelknecht,169794,1695.0,7.27321,6.42902,3.0316,95.0,841.0,120.0,159.0,616.0,3007.0,4179.0,12.0,96.0,2015.0,2.0,4.0,60.0,90.0,12.0,"[2001, 2875, 1084, 1013, 2826, 2897, 2082]",['strategy']
Bausack,1231,3853.0,6.81788,6.42824,1.2978,272.0,2024.0,180.0,186.0,783.0,4691.0,12368.0,11.0,89.0,1987.0,2.0,8.0,15.0,45.0,7.0,"[1032, 2012, 1030, 2988]","['party', 'family']"
Advanced Squad Leader: Starter Kit #3,20542,999.0,8.02366,6.42841,3.9,130.0,297.0,41.0,89.0,277.0,3010.0,1026.0,117.0,117.0,2007.0,2.0,2.0,180.0,180.0,12.0,"[2072, 2026, 1019, 1049]",['war']
Aladdin's Dragons,492,3093.0,6.91001,6.42829,2.4669,332.0,1360.0,190.0,144.0,432.0,3866.0,3855.0,2.0,53.0,2000.0,3.0,5.0,60.0,90.0,10.0,"[1052, 2012, 1023, 1010, 1035, 2004, 2082]","['strategy', 'family']"
Balloon Cup,5716,5719.0,6.69173,6.42754,1.4572,643.0,1684.0,132.0,326.0,963.0,5976.0,23068.0,22.0,93.0,2003.0,2.0,2.0,30.0,30.0,8.0,"[2650, 1002, 2040, 2004, 2686]",['family']
DC Comics Deck-Building Game: Heroes Unite,142852,1685.0,7.39434,6.42747,2.1,60.0,242.0,58.0,59.0,255.0,3965.0,4954.0,16.0,144.0,2014.0,2.0,5.0,45.0,45.0,15.0,"[1002, 1116, 2664]","['thematic', 'family']"
Folklore: The Affliction,159504,1424.0,7.85007,6.42746,3.6667,60.0,401.0,81.0,211.0,1545.0,3826.0,3532.0,10.0,1105.0,2017.0,1.0,5.0,90.0,120.0,14.0,"[2001, 1022, 2023, 2072, 2676, 1024, 1047, 2011, 2028, 2819, 2015]",['thematic']
Roma,16496,4446.0,6.77287,6.42714,2.0065,460.0,1606.0,238.0,156.0,662.0,5420.0,17701.0,11.0,82.0,2005.0,2.0,2.0,45.0,45.0,8.0,"[2001, 1050, 2041, 1002, 1017, 2072, 2040, 2686]",['strategy']
High Frontier,47055,1510.0,7.39939,6.42585,4.3319,226.0,1352.0,132.0,169.0,911.0,2451.0,3404.0,9.0,295.0,2010.0,2.0,5.0,180.0,180.0,12.0,"[2012, 2072, 1021, 2040, 1088, 2007, 2078, 1016, 2070, 1113, 2015]","['thematic', 'strategy']"
Sushi Roll,271869,1975.0,7.17041,6.42548,1.2424,33.0,220.0,88.0,162.0,1003.0,4572.0,8037.0,175.0,79.0,2019.0,2.0,5.0,20.0,20.0,8.0,"[1017, 2072, 2984]",['family']
Timeline: Events,113401,4169.0,6.78538,6.42512,1.104,125.0,338.0,73.0,112.0,440.0,7854.0,15591.0,27.0,61.0,2011.0,2.0,8.0,15.0,15.0,8.0,"[1002, 1094, 1030, 1027]","['party', 'family']"
Mascarade,139030,9139.0,6.61848,6.42459,1.5337,371.0,1705.0,417.0,172.0,1459.0,14081.0,26447.0,44.0,272.0,2013.0,2.0,13.0,30.0,30.0,10.0,"[1023, 1002, 2891, 1035, 2047, 1030, 2015]",['party']
Star Wars: Epic Duels,3284,3079.0,6.99957,6.4246,1.7794,281.0,2116.0,235.0,211.0,507.0,4126.0,8218.0,5.0,174.0,2002.0,2.0,6.0,30.0,30.0,8.0,"[2018, 1046, 1047, 1064, 2685, 2035, 1016, 2015]",['thematic']
Ca$h 'n Gun$,19237,9746.0,6.58534,6.42393,1.2743,751.0,2886.0,367.0,239.0,1266.0,8776.0,30499.0,13.0,194.0,2005.0,4.0,6.0,30.0,30.0,10.0,"[1023, 1002, 1046, 1079, 1033, 1026, 1030, 2685, 2020, 2015]",['party']
Yomi,43022,2865.0,6.97707,6.42384,2.359,195.0,1329.0,178.0,169.0,845.0,3001.0,14822.0,6.0,324.0,2011.0,2.0,2.0,30.0,30.0,10.0,"[1023, 1002, 1010, 1046, 2040, 2003, 2020, 2015, 1101]",['strategy']
Caylus 1303,284818,1203.0,7.64297,6.42403,2.9324,74.0,172.0,41.0,255.0,1082.0,2452.0,2507.0,62.0,61.0,2019.0,2.0,5.0,60.0,90.0,12.0,"[1029, 1021, 1035, 2911, 2829, 2830, 2897, 2082]",['strategy']
Manhattan,199,4900.0,6.72654,6.42353,1.9239,381.0,1569.0,233.0,229.0,857.0,6652.0,9278.0,33.0,78.0,1994.0,2.0,4.0,45.0,45.0,10.0,"[2080, 1029, 2040]",['family']
Nidavellir,293014,1024.0,7.98689,6.42663,2.1915,47.0,103.0,9.0,319.0,1859.0,1792.0,3339.0,284.0,117.0,2020.0,2.0,5.0,30.0,60.0,10.0,"[2041, 2922, 1010, 1082, 2004, 2020, 2827, 2874]","['strategy', 'family']"
Barony,167513,2304.0,7.11504,6.42052,2.2404,104.0,524.0,91.0,146.0,750.0,3069.0,5177.0,11.0,132.0,2015.0,2.0,4.0,45.0,45.0,14.0,"[1009, 2080, 2046, 1035, 2011, 1086]",['strategy']
Obscurio,273477,1691.0,7.29277,6.41975,1.9062,32.0,189.0,47.0,239.0,1857.0,3481.0,4218.0,68.0,108.0,2019.0,2.0,8.0,40.0,40.0,10.0,"[1023, 2893, 2023, 1039, 1020, 1030, 2814, 2015, 2017]",['family']
